name,url,level,hitpoints,max_hit,aggressive,accuracy,strength,defence,magic,range,speed,respawn_timer,loot
Bandit,https://highspell.fandom.com/wiki/Bandit,10,14,2,Yes,6 + 5 bonus,6 + 4 bonus,6,1,1,2,30s,[]
Bandit (Archer),https://highspell.fandom.com/wiki/Bandit_(Lvl_18),18,14,?,Yes,6,6,6,1,20,2,Unknown,[]
Barbarian,https://highspell.fandom.com/wiki/Barbarian,20,26,???,Yes,15 + 10 bonus,15 + 15 bonus,15 + 10 bonus,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""3"", ""rarity"": ""0.3"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""5"", ""rarity"": ""0.15"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""10"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Potato"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Iron Ore"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Raw Beef"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Raw Chicken"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Steak"", ""quantity"": ""1"", ""rarity"": ""0.035"", ""chance"": """"}, {""item"": ""Chicken"", ""quantity"": ""1"", ""rarity"": ""0.035"", ""chance"": """"}, {""item"": ""Iron Helm"", ""quantity"": ""1"", ""rarity"": ""0.03"", ""chance"": """"}, {""item"": ""Iron Gloves"", ""quantity"": ""1"", ""rarity"": ""0.03"", ""chance"": """"}, {""item"": ""Iron Battleaxe"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Coal"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Barbarian Helm"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Raw Salmon"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": """"}]"
Beach Gnome,https://highspell.fandom.com/wiki/Beach_gnome,18,25,???,No,20,15 + 10 bonus,15,10 + 5 bonus,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""8"", ""rarity"": ""0.4"", ""chance"": """"}, {""item"": ""Scroll (IOU)"", ""quantity"": ""2"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""15"", ""rarity"": ""0.075"", ""chance"": """"}, {""item"": ""Raw Crab"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Logs"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Water Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Energy Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Crab"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Beer"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Clownfish"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""20"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Gnome's Hat"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Amethyst Necklace"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Coconut"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": """"}]"
Big Squirrel,https://highspell.fandom.com/wiki/Big_squirrel,12,15,???,Yes,10,12,12,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Raw Rodent Meat"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Squirrel Pelt"", ""quantity"": ""1"", ""rarity"": ""0.15"", ""chance"": """"}]"
Black Bear,https://highspell.fandom.com/wiki/Black_bear,32,40,???,Unknown,30,35,25,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Raw Game Meat"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Raw Game Meat"", ""quantity"": ""1"", ""rarity"": ""0.4"", ""chance"": """"}, {""item"": ""Black Bear Paw"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}]"
Blood Mage (Lvl 27),https://highspell.fandom.com/wiki/Blood_mage_(Lvl_27),27,32,???,Yes,24,28,20 + 10 bonus,30 + 15 bonus,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""10"", ""rarity"": ""0.25"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""15"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""1"", ""rarity"": ""0.075"", ""chance"": """"}, {""item"": ""Water Scroll"", ""quantity"": ""1"", ""rarity"": ""0.075"", ""chance"": """"}, {""item"": ""Nature Scroll"", ""quantity"": ""1"", ""rarity"": ""0.075"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Water Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Nature Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Energy Scroll"", ""quantity"": ""2"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Fury Scroll"", ""quantity"": ""2"", ""rarity"": ""0.04"", ""chance"": """"}, {""item"": ""Rage Scroll"", ""quantity"": ""2"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Warp Scroll"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Alchemy Scroll"", ""quantity"": ""2"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Blood Robe Bottoms"", ""quantity"": ""1"", ""rarity"": ""0.004"", ""chance"": """"}, {""item"": ""Blood Hat"", ""quantity"": ""1"", ""rarity"": ""0.004"", ""chance"": """"}, {""item"": ""Potion of Magic (1)"", ""quantity"": ""1"", ""rarity"": ""0.0025"", ""chance"": """"}]"
Blood Mage (Lvl 44),https://highspell.fandom.com/wiki/Blood_mage_(Lvl_44),44,42,???,Yes,35,35,30 + 15 bonus,40 + 15 bonus,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""15"", ""rarity"": ""0.2"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""25"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""2"", ""rarity"": ""0.075"", ""chance"": """"}, {""item"": ""Water Scroll"", ""quantity"": ""2"", ""rarity"": ""0.075"", ""chance"": """"}, {""item"": ""Nature Scroll"", ""quantity"": ""2"", ""rarity"": ""0.075"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Water Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Nature Scroll"", ""quantity"": ""3"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Energy Scroll"", ""quantity"": ""3"", ""rarity"": ""0.04"", ""chance"": """"}, {""item"": ""Fury Scroll"", ""quantity"": ""2"", ""rarity"": ""0.04"", ""chance"": """"}, {""item"": ""Warp Scroll"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Rage Scroll"", ""quantity"": ""2"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Alchemy Scroll"", ""quantity"": ""2"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Blood Robe Top"", ""quantity"": ""1"", ""rarity"": ""0.004"", ""chance"": """"}, {""item"": ""Blood Robe Bottoms"", ""quantity"": ""1"", ""rarity"": ""0.004"", ""chance"": """"}, {""item"": ""Blood Hood"", ""quantity"": ""1"", ""rarity"": ""0.004"", ""chance"": """"}, {""item"": ""Potion of Magic (1)"", ""quantity"": ""1"", ""rarity"": ""0.0025"", ""chance"": """"}]"
Brown Bear,https://highspell.fandom.com/wiki/Brown_bear,25,30,???,Unknown,20,30,20,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Raw Game Meat"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Raw Game Meat"", ""quantity"": ""1"", ""rarity"": ""0.25"", ""chance"": """"}, {""item"": ""Brown Bear Paw"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}]"
Brute,https://highspell.fandom.com/wiki/Brute,48,50,?,Yes,15,40,25,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}]"
